exported_fun,type,argument,default_or_fixed,object,expected_object,fun_prefix,expected_type
stat_quantile,stat,StatQuantile,fixed,StatQuantile,StatQuantile,stat_,stat
stat_sf,geom,"""rect""",default,GeomRect,StatSf,stat_,stat
stat_sf,position,"""identity""",default,PositionIdentity,StatSf,stat_,stat
stat_sf,stat,StatSf,fixed,StatSf,StatSf,stat_,stat
stat_sf_coordinates,geom,"""point""",default,GeomPoint,StatSfCoordinates,stat_,stat
stat_sf_coordinates,position,"""identity""",default,PositionIdentity,StatSfCoordinates,stat_,stat
stat_sf_coordinates,stat,StatSfCoordinates,fixed,StatSfCoordinates,StatSfCoordinates,stat_,stat
stat_smooth,geom,"""smooth""",default,GeomSmooth,StatSmooth,stat_,stat
stat_smooth,position,"""identity""",default,PositionIdentity,StatSmooth,stat_,stat
stat_smooth,stat,StatSmooth,fixed,StatSmooth,StatSmooth,stat_,stat
stat_sum,geom,"""point""",default,GeomPoint,StatSum,stat_,stat
stat_sum,position,"""identity""",default,PositionIdentity,StatSum,stat_,stat
stat_sum,stat,StatSum,fixed,StatSum,StatSum,stat_,stat
stat_summary,geom,"""pointrange""",default,GeomPointrange,StatSummary,stat_,stat
stat_summary,position,"""identity""",default,PositionIdentity,StatSummary,stat_,stat
stat_summary,stat,StatSummary,fixed,StatSummary,StatSummary,stat_,stat
stat_summary_2d,geom,"""tile""",default,GeomTile,StatSummary2d,stat_,stat
stat_summary_2d,position,"""identity""",default,PositionIdentity,StatSummary2d,stat_,stat
stat_summary_2d,stat,StatSummary2d,fixed,StatSummary2d,StatSummary2d,stat_,stat
stat_summary_bin,geom,"""pointrange""",default,GeomPointrange,StatSummaryBin,stat_,stat
stat_summary_bin,position,"""identity""",default,PositionIdentity,StatSummaryBin,stat_,stat
stat_summary_bin,stat,StatSummaryBin,fixed,StatSummaryBin,StatSummaryBin,stat_,stat
stat_summary_hex,geom,"""hex""",default,GeomHex,StatSummaryHex,stat_,stat
stat_summary_hex,position,"""identity""",default,PositionIdentity,StatSummaryHex,stat_,stat
stat_summary_hex,stat,StatSummaryHex,fixed,StatSummaryHex,StatSummaryHex,stat_,stat
stat_unique,geom,"""point""",default,GeomPoint,StatUnique,stat_,stat
stat_unique,position,"""identity""",default,PositionIdentity,StatUnique,stat_,stat
stat_unique,stat,StatUnique,fixed,StatUnique,StatUnique,stat_,stat
stat_ydensity,geom,"""violin""",default,GeomViolin,StatYdensity,stat_,stat
stat_ydensity,position,"""dodge""",default,PositionDodge,StatYdensity,stat_,stat
stat_ydensity,stat,StatYdensity,fixed,StatYdensity,StatYdensity,stat_,stat
