user,repo,fun_exported
aphalo,ggpp,PositionNudgeCenter
aphalo,ggpp,PositionNudgeLine
aphalo,ggpp,PositionNudgeTo
aphalo,ggpp,StatApplyGroup
aphalo,ggpp,StatApplyPanel
aphalo,ggpp,StatDens1dFilter
aphalo,ggpp,StatDens1dFilterG
aphalo,ggpp,StatDens1dLabels
aphalo,ggpp,StatDens2dFilter
aphalo,ggpp,StatDens2dFilterG
aphalo,ggpp,StatDens2dLabels
aphalo,ggpp,StatFmtTb
aphalo,ggpp,StatQuadrantCounts
aphalo,ggpp,annotate
aphalo,ggpp,compute_npcx
aphalo,ggpp,compute_npcy
aphalo,ggpp,geom_grob
aphalo,ggpp,geom_grob_npc
aphalo,ggpp,geom_label_npc
aphalo,ggpp,geom_linked_text
aphalo,ggpp,geom_plot
aphalo,ggpp,geom_plot_npc
aphalo,ggpp,geom_quadrant_lines
aphalo,ggpp,geom_table
aphalo,ggpp,geom_table_npc
aphalo,ggpp,geom_text_npc
aphalo,ggpp,geom_vhlines
aphalo,ggpp,geom_x_margin_arrow
aphalo,ggpp,geom_x_margin_grob
aphalo,ggpp,geom_x_margin_point
aphalo,ggpp,geom_y_margin_arrow
aphalo,ggpp,geom_y_margin_grob
aphalo,ggpp,geom_y_margin_point
aphalo,ggpp,position_nudge_center
aphalo,ggpp,position_nudge_centre
aphalo,ggpp,position_nudge_keep
aphalo,ggpp,position_nudge_line
aphalo,ggpp,position_nudge_to
aphalo,ggpp,scale_npcx_continuous
aphalo,ggpp,scale_npcy_continuous
aphalo,ggpp,stat_apply_group
aphalo,ggpp,stat_apply_panel
aphalo,ggpp,stat_centroid
aphalo,ggpp,stat_dens1d_filter
aphalo,ggpp,stat_dens1d_filter_g
aphalo,ggpp,stat_dens1d_labels
aphalo,ggpp,stat_dens2d_filter
aphalo,ggpp,stat_dens2d_filter_g
aphalo,ggpp,stat_dens2d_labels
aphalo,ggpp,stat_fmt_tb
aphalo,ggpp,stat_quadrant_counts
aphalo,ggpp,stat_summary_xy
aphalo,ggpp,try_data_frame
aphalo,ggpp,try_tibble
aphalo,ggpp,ttheme_gtbw
aphalo,ggpp,ttheme_gtdark
aphalo,ggpp,ttheme_gtdefault
aphalo,ggpp,ttheme_gtlight
aphalo,ggpp,ttheme_gtminimal
aphalo,ggpp,ttheme_gtplain
aphalo,ggpp,ttheme_gtsimple
aphalo,ggpp,ttheme_gtstripes
aphalo,ggpp,ttheme_set
aphalo,ggpmisc,FC_format
aphalo,ggpmisc,FC_name
aphalo,ggpmisc,FC_plain
aphalo,ggpmisc,S_value_label
aphalo,ggpmisc,StatCorr
aphalo,ggpmisc,StatFitAugment
aphalo,ggpmisc,StatFitDeviations
aphalo,ggpmisc,StatFitFitted
aphalo,ggpmisc,StatFitGlance
aphalo,ggpmisc,StatFitResiduals
aphalo,ggpmisc,StatFitTb
aphalo,ggpmisc,StatFitTidy
aphalo,ggpmisc,StatMaEq
aphalo,ggpmisc,StatMaLine
aphalo,ggpmisc,StatMultcomp
aphalo,ggpmisc,StatPeaks
aphalo,ggpmisc,StatPolyEq
aphalo,ggpmisc,StatPolyLine
aphalo,ggpmisc,StatQuantBand
aphalo,ggpmisc,StatQuantEq
aphalo,ggpmisc,StatQuantLine
aphalo,ggpmisc,StatValleys
aphalo,ggpmisc,adj_rr_label
aphalo,ggpmisc,bold_label
aphalo,ggpmisc,check_poly_formula
aphalo,ggpmisc,coefs2poly_eq
aphalo,ggpmisc,f_value_label
aphalo,ggpmisc,find_peaks
aphalo,ggpmisc,italic_label
aphalo,ggpmisc,keep_augment
aphalo,ggpmisc,keep_glance
aphalo,ggpmisc,keep_tidy
aphalo,ggpmisc,mean_value_label
aphalo,ggpmisc,outcome2factor
aphalo,ggpmisc,p_value_label
aphalo,ggpmisc,plain_label
aphalo,ggpmisc,poly2character
aphalo,ggpmisc,r_ci_label
aphalo,ggpmisc,r_label
aphalo,ggpmisc,rr_ci_label
aphalo,ggpmisc,rr_label
aphalo,ggpmisc,scale_color_logFC
aphalo,ggpmisc,scale_color_outcome
aphalo,ggpmisc,scale_colour_logFC
aphalo,ggpmisc,scale_colour_outcome
aphalo,ggpmisc,scale_fill_logFC
aphalo,ggpmisc,scale_fill_outcome
aphalo,ggpmisc,scale_shape_outcome
aphalo,ggpmisc,scale_x_FDR
aphalo,ggpmisc,scale_x_Pvalue
aphalo,ggpmisc,scale_x_logFC
aphalo,ggpmisc,scale_y_FDR
aphalo,ggpmisc,scale_y_Pvalue
aphalo,ggpmisc,scale_y_logFC
aphalo,ggpmisc,sd_value_label
aphalo,ggpmisc,se_value_label
aphalo,ggpmisc,sprintf_dm
aphalo,ggpmisc,stat_correlation
aphalo,ggpmisc,stat_fit_augment
aphalo,ggpmisc,stat_fit_deviations
aphalo,ggpmisc,stat_fit_fitted
aphalo,ggpmisc,stat_fit_glance
aphalo,ggpmisc,stat_fit_residuals
aphalo,ggpmisc,stat_fit_tb
aphalo,ggpmisc,stat_fit_tidy
aphalo,ggpmisc,stat_ma_eq
aphalo,ggpmisc,stat_ma_line
aphalo,ggpmisc,stat_multcomp
aphalo,ggpmisc,stat_peaks
aphalo,ggpmisc,stat_poly_eq
aphalo,ggpmisc,stat_poly_line
aphalo,ggpmisc,stat_quant_band
aphalo,ggpmisc,stat_quant_eq
aphalo,ggpmisc,stat_quant_line
aphalo,ggpmisc,stat_valleys
aphalo,ggpmisc,symmetric_limits
aphalo,ggpmisc,t_value_label
aphalo,ggpmisc,threshold2factor
aphalo,ggpmisc,use_label
aphalo,ggpmisc,value2char
aphalo,ggpmisc,var_value_label
aphalo,ggpmisc,xy_outcomes2factor
aphalo,ggpmisc,xy_thresholds2factor
aphalo,ggpmisc,z_value_label
thomasp85,gganimate,Shadow
thomasp85,gganimate,ShadowMark
thomasp85,gganimate,ShadowNull
thomasp85,gganimate,ShadowTrail
thomasp85,gganimate,ShadowWake
thomasp85,gganimate,Transition
thomasp85,gganimate,TransitionComponents
thomasp85,gganimate,TransitionEvents
thomasp85,gganimate,TransitionFilter
thomasp85,gganimate,TransitionLayers
thomasp85,gganimate,TransitionManual
thomasp85,gganimate,TransitionNull
thomasp85,gganimate,TransitionReveal
thomasp85,gganimate,TransitionStates
thomasp85,gganimate,TransitionTime
thomasp85,gganimate,View
thomasp85,gganimate,ViewFollow
thomasp85,gganimate,ViewStep
thomasp85,gganimate,ViewStepManual
thomasp85,gganimate,ViewZoom
thomasp85,gganimate,ViewZoomManual
thomasp85,gganimate,anim_save
thomasp85,gganimate,animate
thomasp85,gganimate,av_renderer
thomasp85,gganimate,ease_aes
thomasp85,gganimate,enter_appear
thomasp85,gganimate,enter_drift
thomasp85,gganimate,enter_fade
thomasp85,gganimate,enter_fly
thomasp85,gganimate,enter_grow
thomasp85,gganimate,enter_manual
thomasp85,gganimate,enter_recolor
thomasp85,gganimate,enter_recolour
thomasp85,gganimate,enter_reset
thomasp85,gganimate,exit_disappear
thomasp85,gganimate,exit_drift
thomasp85,gganimate,exit_fade
